userid,condition,choice,ID1,condition1,userid1,movie1,score1,movie2,score2,movie3,score3,movie4,score4,movie5,score5,movie6,score6,movie7,score7,movie8,score8,movie9,score9,movie10,score10,movie11,score11,movie12,score12,movie13,score13,movie14,score14,movie15,score15,movie16,score16,movie17,score17,movie18,score18,movie19,score19,movie20,score20,sat01,sat02,sat03,sat04,sat05,sat06,sat07,div08,div09,div10,div11,div12,div13,att14,att15,att16,att17,dif18,dif19,dif20,dif21,dif22,influ23,ratepos24,exp25,exp26,exp27,nrseen28,seen29,opmerkingen,rating,rec_set,recset,norating,size,Sat_comb,Diff_comb,Attr_comb,Var_comb,Sat_sep,Diff_sep,Attr_sep,Var_sep,freqpos1,freqpos2,freqpos3,freqpos4,freqpos5,freqpos6,freqpos7,freqpos8,freqpos9,freqpos10,freqpos11,freqpos12,freqpos13,freqpos14,freqpos15,freqpos16,freqpos17,freqpos18,freqpos19,freqpos20,durpos1,durpos2,durpos3,durpos4,durpos5,durpos6,durpos7,durpos8,durpos9,durpos10,durpos11,durpos12,durpos13,durpos14,durpos15,durpos16,durpos17,durpos18,durpos19,durpos20,choicepos,gender,age,totfreq,max_as1,max_as2,max_dif1,max_dif2,max_hs1,max_hs2,as,dif,hs,maxtot
182,Top20_NR,crid://www.tue.nl/1206,658,hidetop20,182,crid://www.tue.nl/551,39,crid://www.tue.nl/3949,38,crid://www.tue.nl/2997,38,crid://www.tue.nl/1206,38,crid://www.tue.nl/1214,38,crid://www.tue.nl/1282,38,crid://www.tue.nl/1200,37,crid://www.tue.nl/288,37,crid://www.tue.nl/3018,37,crid://www.tue.nl/3535,37,crid://www.tue.nl/3608,37,crid://www.tue.nl/2959,37,crid://www.tue.nl/235,37,crid://www.tue.nl/1199,37,crid://www.tue.nl/968,37,crid://www.tue.nl/541,37,crid://www.tue.nl/2160,37,crid://www.tue.nl/1196,37,crid://www.tue.nl/1997,37,crid://www.tue.nl/924,37,6,5,6,5,5,1,6,4,4,2,3,5,4,5,0,4,4,4,1,3,2,1,4,3,3,0,0,2,0,,no_rating,Top20,1,1,20,0.91,0.25,0.53,-0.1,0.73,0.02,0.81,-0.29,2,2,1,2,2,2,2,2,1,2,2,1,1,1,0,2,1,2,2,0,5.28,8.2,9.89,20.16,14.61,9.36,5.63,28.34,30.28,26.7,3.19,4.7,5.5,10.8,0,25.97,6.08,24.02,7.16,0,4, m,22,30,6,1,6,6,7,6,3.5,6,6.5,5.333333333
174,Lin20,crid://www.tue.nl/364,657,showexp20,174,crid://www.tue.nl/2019,42,crid://www.tue.nl/1204,42,crid://www.tue.nl/670,42,crid://www.tue.nl/1243,42,crid://www.tue.nl/923,41,crid://www.tue.nl/678,38,crid://www.tue.nl/1234,37,crid://www.tue.nl/1879,36,crid://www.tue.nl/3855,35,crid://www.tue.nl/914,35,crid://www.tue.nl/2912,34,crid://www.tue.nl/2211,33,crid://www.tue.nl/822,33,crid://www.tue.nl/222,33,crid://www.tue.nl/976,32,crid://www.tue.nl/1396,32,crid://www.tue.nl/766,31,crid://www.tue.nl/3203,31,crid://www.tue.nl/1356,30,crid://www.tue.nl/364,30,6,6,6,6,6,1,5,5,5,2,4,3,5,4,1,4,3,1,1,0,1,1,4,5,4,2,2,4,1,,rating,Lin20,2,0,20,1.27,-1.27,-0.11,0.47,1.22,-1.2,0.13,0.55,1,1,1,0,0,2,1,0,1,0,1,1,0,0,0,1,1,1,0,1,4.88,3.26,2.93,0,0,4.06,1.91,0,4.46,0,1.18,2.06,0,0,0,1.05,1.53,1.28,0,2.51,20, f,21,13,6,2,1,2,3,6,4,1.5,4.5,3.333333333
224,Lin20,crid://www.tue.nl/208,656,showexp20,224,crid://www.tue.nl/3825,41,crid://www.tue.nl/3768,40,crid://www.tue.nl/3574,40,crid://www.tue.nl/3434,40,crid://www.tue.nl/2404,40,crid://www.tue.nl/256,39,crid://www.tue.nl/1515,39,crid://www.tue.nl/849,38,crid://www.tue.nl/208,38,crid://www.tue.nl/48,38,crid://www.tue.nl/3889,37,crid://www.tue.nl/1687,37,crid://www.tue.nl/2492,37,crid://www.tue.nl/3873,37,crid://www.tue.nl/454,36,crid://www.tue.nl/2956,36,crid://www.tue.nl/3029,36,crid://www.tue.nl/3882,36,crid://www.tue.nl/999,35,crid://www.tue.nl/1817,35,6,4,5,5,5,1,6,5,5,1,4,3,6,5,0,6,5,4,2,3,4,0,5,3,5,1,3,6,1,Ik zou het handig hebben gevonden om o.a. bij vraag 28 de lijst nog even te mogen zien om te tellen...,rating,Lin20,2,0,20,0.4,0.92,1.23,0.79,0.35,0.58,1.2,0.53,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.32,2.37,5.28,2.97,2.46,1.14,1.78,3.48,2.44,1.69,4.03,1.97,3.73,2.42,2.22,2.06,1.28,2.52,1.66,3.6,9, m,30,20,6,4,5,3,5,6,5,4,5.5,4.833333333
180,Lin20,crid://www.tue.nl/777,655,showexp20,180,crid://www.tue.nl/2764,36,crid://www.tue.nl/2971,36,crid://www.tue.nl/2010,35,crid://www.tue.nl/920,35,crid://www.tue.nl/412,35,crid://www.tue.nl/1267,34,crid://www.tue.nl/797,33,crid://www.tue.nl/839,33,crid://www.tue.nl/824,33,crid://www.tue.nl/1573,33,crid://www.tue.nl/777,32,crid://www.tue.nl/1174,32,crid://www.tue.nl/2626,32,crid://www.tue.nl/2339,32,crid://www.tue.nl/765,32,crid://www.tue.nl/3840,32,crid://www.tue.nl/1131,32,crid://www.tue.nl/2490,32,crid://www.tue.nl/3795,32,crid://www.tue.nl/3665,31,5,3,5,5,6,3,5,5,4,2,4,3,4,4,1,4,2,2,1,2,3,4,4,5,2,2,1,0,0,,rating,Lin20,2,0,20,0.2,0.01,0.2,0.22,0.36,0.42,0.04,0.25,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3.3,0,15.98,0,0,0,0,0,0,0,3.86,1.09,1.36,1.19,1.03,1.2,1.45,3.46,2.58,4.68,11, m,32,12,6,1,5,2,3,6,3.5,3.5,4.5,3.833333333
98,Top5_NR,crid://www.tue.nl/2997,654,hidetop5,98,crid://www.tue.nl/1206,35,crid://www.tue.nl/2997,35,crid://www.tue.nl/3608,35,crid://www.tue.nl/1288,35,crid://www.tue.nl/296,35,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,5,3,5,4,3,2,6,5,3,1,4,4,5,5,0,3,3,1,1,2,0,0,3,3,4,2,4,2,1,,no_rating,Top5,0,1,5,-0.3,-0.76,0.44,0.44,-0.35,-0.91,0.42,0.32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.75,4.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2, m,46,2,4,2,4,2,4,6,3,3,5,3.666666667
151,Top20_NR,crid://www.tue.nl/2858,652,hidetop20,151,crid://www.tue.nl/2858,41,crid://www.tue.nl/670,40,crid://www.tue.nl/1243,40,crid://www.tue.nl/50,40,crid://www.tue.nl/2959,39,crid://www.tue.nl/923,39,crid://www.tue.nl/1199,39,crid://www.tue.nl/1248,38,crid://www.tue.nl/2692,38,crid://www.tue.nl/2019,38,crid://www.tue.nl/1208,38,crid://www.tue.nl/2997,38,crid://www.tue.nl/1284,38,crid://www.tue.nl/541,38,crid://www.tue.nl/615,38,crid://www.tue.nl/1212,38,crid://www.tue.nl/1204,38,crid://www.tue.nl/1252,38,crid://www.tue.nl/1423,38,crid://www.tue.nl/3134,38,1,5,1,0,3,6,0,0,3,3,3,1,0,0,0,0,0,2,2,0,1,0,1,1,5,3,2,0,0,,no_rating,Top20,1,1,20,-2.99,-0.73,-2.26,-1.55,-3.43,-1.17,-2.27,-1.05,2,1,2,2,1,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,15.2,2.33,5.86,12.89,4.56,2.39,4.1,2.12,1.58,2.71,1.53,1.48,1.51,0,0,0,0,0,0,0,1, f,55,17,6,1,4,3,5,7,3.5,3.5,6,4.333333333
162,Lin20,crid://www.tue.nl/26,651,showexp20,162,crid://www.tue.nl/1959,39,crid://www.tue.nl/1035,39,crid://www.tue.nl/2431,39,crid://www.tue.nl/3045,39,crid://www.tue.nl/2084,38,crid://www.tue.nl/185,36,crid://www.tue.nl/26,35,crid://www.tue.nl/423,35,crid://www.tue.nl/1942,34,crid://www.tue.nl/2843,34,crid://www.tue.nl/2633,34,crid://www.tue.nl/2202,34,crid://www.tue.nl/1931,33,crid://www.tue.nl/2686,33,crid://www.tue.nl/2558,33,crid://www.tue.nl/2086,33,crid://www.tue.nl/2414,33,crid://www.tue.nl/972,33,crid://www.tue.nl/3154,33,crid://www.tue.nl/2305,33,4,4,5,4,5,0,4,1,3,6,1,3,0,2,6,0,0,5,3,2,0,0,0,3,1,0,1,4,0,waarom geen porno of vrouwvriendelijke sex,rating,Lin20,2,0,20,-0.16,0.68,-2,-2.42,-0.21,0.02,-1.54,-2.08,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1.97,2.59,1.39,1.25,0,2.11,2.55,0,0,1.2,0,0,0,3.42,0,0,0,0,0,0,7, m,54,8,5,1,1,4,6,6,3,2.5,6,3.833333333
193,Top20_NR,crid://www.tue.nl/2617,650,hidetop20,193,crid://www.tue.nl/2617,36,crid://www.tue.nl/1198,36,crid://www.tue.nl/1036,35,crid://www.tue.nl/377,35,crid://www.tue.nl/3114,35,crid://www.tue.nl/2791,35,crid://www.tue.nl/1240,35,crid://www.tue.nl/589,35,crid://www.tue.nl/2762,35,crid://www.tue.nl/380,35,crid://www.tue.nl/1265,35,crid://www.tue.nl/1580,35,crid://www.tue.nl/480,34,crid://www.tue.nl/1,34,crid://www.tue.nl/3421,34,crid://www.tue.nl/3552,34,crid://www.tue.nl/2571,34,crid://www.tue.nl/3868,34,crid://www.tue.nl/1270,34,crid://www.tue.nl/1196,34,5,5,5,5,5,1,5,4,5,4,5,4,4,4,1,5,2,1,1,3,1,5,5,5,4,1,1,8,1,,no_rating,Top20,1,1,20,0.16,-0.65,0.35,0.27,0.37,0.04,0.1,0.3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.97,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, m,49,3,5,6,2,6,7,6,5.5,4,6.5,5.333333333
54,Top20,crid://www.tue.nl/1196,646,showtop20,54,crid://www.tue.nl/3905,39,crid://www.tue.nl/3338,38,crid://www.tue.nl/1198,37,crid://www.tue.nl/1196,37,crid://www.tue.nl/583,37,crid://www.tue.nl/557,37,crid://www.tue.nl/858,37,crid://www.tue.nl/670,37,crid://www.tue.nl/2557,36,crid://www.tue.nl/2342,36,crid://www.tue.nl/1200,36,crid://www.tue.nl/53,36,crid://www.tue.nl/1240,36,crid://www.tue.nl/578,36,crid://www.tue.nl/2931,36,crid://www.tue.nl/2963,35,crid://www.tue.nl/2571,35,crid://www.tue.nl/1214,35,crid://www.tue.nl/1423,35,crid://www.tue.nl/318,35,4,4,4,4,4,5,4,3,4,2,4,2,4,4,1,2,2,1,0,6,1,0,1,5,5,4,2,5,0,NULL,rating,Top20,1,0,20,-0.9,-0.36,0.09,0.1,-0.55,-0.28,-0.36,0.13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4, m,20,1,7,2,NA,4,3,5,4.5,4,4,4.2
234,Lin20_NR,crid://www.tue.nl/2858,645,hideexp20,234,crid://www.tue.nl/2571,43,crid://www.tue.nl/50,42,crid://www.tue.nl/2858,42,crid://www.tue.nl/318,42,crid://www.tue.nl/1197,41,crid://www.tue.nl/922,37,crid://www.tue.nl/953,36,crid://www.tue.nl/931,35,crid://www.tue.nl/2972,35,crid://www.tue.nl/483,34,crid://www.tue.nl/1073,34,crid://www.tue.nl/681,34,crid://www.tue.nl/1694,33,crid://www.tue.nl/117,33,crid://www.tue.nl/1832,33,crid://www.tue.nl/658,32,crid://www.tue.nl/2280,32,crid://www.tue.nl/3863,32,crid://www.tue.nl/3294,32,crid://www.tue.nl/3291,31,6,4,5,5,5,1,5,4,4,1,4,1,4,5,1,5,2,1,0,3,1,1,5,5,3,1,1,4,1,-,no_rating,Lin20,2,1,20,0.39,-0.65,0.8,0.23,0.57,-0.7,0.58,0.09,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.68,0,0,0,0,0,0,0,0,0,0,0,1.73,0,0,0,0,0,3, m,23,2,6,3,6,3,2,3,4.5,4.5,2.5,3.833333333
